bait	tag	MD	CV	prg1_lfc	prg1_pv
Y54G11A.3	B0001.4	4.764	3.7449546808375	0.945581122028359	0.0203200833929593
dcap-1	B0001.4	19.176	5.69167102333401	0.945581122028359	0.0203200833929593
dcap-2	B0001.4	17.898	6.20274139097124	0.945581122028359	0.0203200833929593
gld4	B0001.4	23.614	14.18986799337	0.945581122028359	0.0203200833929593
H40L08.1	B0001.5	23.19	3.57484013889179	NA	NA
Y54G11A.3	B0001.5	3.972	3.31810915959045	NA	NA
dcap-1	B0001.5	25.76	3.45376924526481	NA	NA
dcap-2	B0001.5	14.912	16.5825911235919	NA	NA
gld4	B0001.5	23.386	5.80668203986598	NA	NA
H40L08.1	B0001.7	17.85	44.6517577769716	4.1632571894566	0.0191500936348686
Y54G11A.3	B0001.7	14.23	2.36281861257265	4.1632571894566	0.0191500936348686
dcap-1	B0001.7	19.934	13.6143599478135	4.1632571894566	0.0191500936348686
dcap-2	B0001.7	14.84	8.3982109685365	4.1632571894566	0.0191500936348686
gld4	B0001.7	18.114	16.2968580799418	4.1632571894566	0.0191500936348686
H40L08.1	B0001.8	20.316	11.3183758440374	NA	NA
Y54G11A.3	B0001.8	18.866	5.47530712395856	NA	NA
dcap-1	B0001.8	1.892	7.72647011272924	NA	NA
dcap-2	B0001.8	17.886	4.63554727119578	NA	NA
gld4	B0001.8	7.362	21.9354807000706	NA	NA
H40L08.1	B0019.2	11.93	2.85488455422069	NA	NA
Y54G11A.3	B0019.2	17.54	19.4116196411394	NA	NA
dcap-1	B0019.2	15.86	4.96549670421114	NA	NA
dcap-2	B0019.2	22.758	9.52971061463995	NA	NA
gld4	B0019.2	26.312	3.22872093557682	NA	NA
H40L08.1	B0024.11	4.816	7.65264156161834	2.87343919073285	0.211324865405187
Y54G11A.3	B0024.11	21.866	7.59380215596079	2.87343919073285	0.211324865405187
dcap-1	B0024.11	16.838	24.3578100988181	2.87343919073285	0.211324865405187
dcap-2	B0024.11	20.592	3.40239487654353	2.87343919073285	0.211324865405187
gld4	B0024.11	21.708	14.5243881071406	2.87343919073285	0.211324865405187
H40L08.1	B0024.13	21.74	13.5769396051519	NA	NA
Y54G11A.3	B0024.13	13.1	32.6641301652477	NA	NA
dcap-1	B0024.13	11.512	6.93334476429533	NA	NA
dcap-2	B0024.13	10.684	12.1330467949809	NA	NA
gld4	B0024.13	18.006	1.83213330192571	NA	NA
H40L08.1	B0024.15	20.726	5.58857246487694	NA	NA
Y54G11A.3	B0024.15	22.022	5.91831055093861	NA	NA
dcap-1	B0024.15	13.748	5.1228314909011	NA	NA
dcap-2	B0024.15	19.242	6.33352055111631	NA	NA
gld4	B0024.15	17.946	21.4984883123445	NA	NA
H40L08.1	B0024.3	11.514	3.51107143240643	NA	NA
Y54G11A.3	B0024.3	24.486	6.1295967796979	NA	NA
dcap-1	B0024.3	6.824	6.5310559329615	NA	NA
dcap-2	B0024.3	21.832	10.051591645119	NA	NA
gld4	B0024.3	15.85	3.27590031186049	NA	NA
H40L08.1	B0024.4	22	6.27890012477181	NA	NA
Y54G11A.3	B0024.4	25.242	8.03177277064781	NA	NA
